"time","value"
204.371281980269,0.99
289.185227693477,0.98
355.049071621302,0.97
411.316358347223,0.96
461.586019203659,0.95
507.694709269678,0.94
550.729452825722,0.93
591.396694725222,0.92
630.186449536285,0.91
667.455440913698,0.9
703.473291998637,0.89
738.450039123369,0.88
772.553439362619,0.87
805.920347492717,0.86
838.664471058862,0.85
870.881820576064,0.84
902.654641289504,0.83
934.054314586377,0.82
965.143542202344,0.81
995.978019991483,0.8
1026.60774128196,0.79
1057.07802678495,0.78
1087.43034956431,0.77
1117.7030043481,0.76
1147.93165721772,0.75
1178.14980242492,0.74
1208.38914647299,0.73
1238.6799348196,0.72
1269.05123306167,0.71
1299.53117187351,0.7
1330.14716303284,0.69
1360.92609240866,0.68
1391.8944946743,0.67
1423.07871366099,0.66
1454.50505161667,0.65
1486.19991013665,0.64
1518.1899251517,0.63
1550.50209807176,0.62
1583.16392497018,0.61
1616.20352554173,0.6
1649.64977346678,0.59
1683.53242975819,0.58
1717.88228065067,0.57
1752.73128161289,0.56
1788.11270911782,0.55
1824.06132189822,0.54
1860.61353354139,0.53
1897.8075984443,0.52
1935.68381336054,0.51
1974.2847370286,0.5
2013.65543068583,0.49
2053.84372265095,0.48
2094.9005006135,0.47
2136.88003581361,0.46
2179.84034394964,0.45
2223.8435884349,0.44
2268.95653256738,0.43
2315.25104831153,0.42
2362.8046907634,0.41
2411.70134903499,0.4
2462.03198631975,0.39
2513.89548437986,0.38
2567.39961074015,0.37
2622.66213063202,0.36
2679.81209039579,0.35
2738.99130487075,0.34
2800.35608861013,0.33
2864.07927998905,0.32
2930.35261901158,0.31
2999.38955465356,0.3
3071.42857696959,0.29
3146.73719440833,0.28
3225.61670984955,0.27
3308.40799263514,0.26
3395.49850233362,0.25
3487.33089890681,0.24
3584.41368169078,0.23
3687.33444845039,0.22
3796.77657407567,0.21
3913.54040413204,0.2
4038.57048452066,0.19
4172.99097278958,0.18
4318.1523082802,0.17
4475.69363692288,0.16
4647.62769542736,0.15
4836.45838573312,0.14
5045.34705855418,0.13
5278.3533297544,0.12
5540.79347033925,0.11
5839.79091926841,0.1
6185.15397424405,0.09
6590.83870036697,0.08
7077.52273437528,0.07
7677.44897021109,0.0599999999999999
8444.36369539247,0.0499999999999999
9476.40458192933,0.0399999999999999
10978.2014217503,0.03
13478.5592402237,0.02
19072.1523351819,0.01
