"time","value"
126.368197237614,0.99
168.734139379093,0.98
200.181876109235,0.97
226.275152343414,0.96
249.083993483922,0.95
269.64123702142,0.94
288.547594088612,0.93
306.187838524323,0.92
322.825507897716,0.91
338.650271043716,0.9
353.803965077238,0.89
368.395960634526,0.88
382.512747448726,0.87
396.224188105786,0.86
409.587751506336,0.85
422.651468966218,0.84
435.456053739893,0.83
448.036455926047,0.82
460.423026280832,0.81
472.642402931435,0.8
484.718197812285,0.79
496.671535779934,0.78
508.521483654664,0.77
520.285395867618,0.76
531.979196138528,0.75
543.617609541241,0.74
555.214355715985,0.73
566.782311394821,0.72
578.333648513887,0.71
589.87995278736,0.7
601.432326573154,0.69
613.00147907223,0.68
624.597806303703,0.67
636.231462838511,0.66
647.912426920123,0.65
659.650560326773,0.64
671.455664117114,0.63
683.33753123676,0.62
695.305996836453,0.61
707.370987056337,0.6
719.542566959256,0.59
731.830988245083,0.58
744.246737344787,0.57
756.800584475163,0.56
769.503634231471,0.55
782.367378304804,0.54
795.403750933667,0.53
808.62518773507,0.52
822.044688610258,0.51
835.675885485006,0.5
849.533115726081,0.49
863.631502176199,0.48
877.987040872516,0.47
892.616697662304,0.46
907.538515108664,0.45
922.771731294915,0.44
938.336912396329,0.43
954.256101201439,0.42
970.552984144291,0.41
987.253079868726,0.4
1004.383952905,0.39
1021.97545672226,0.38
1040.06001125838,0.37
1058.67292106173,0.36
1077.85274145891,0.35
1097.64170175659,0.34
1118.08619648207,0.33
1139.23735818403,0.32
1161.15172850824,0.31
1183.89204834173,0.3
1207.5281930693,0.29
1232.13828579536,0.28
1257.81003029105,0.27
1284.64231718044,0.26
1312.74717254036,0.25
1342.25213916794,0.24
1373.30320945772,0.23
1406.06846833795,0.22
1440.74265982396,0.21
1477.55296869218,0.2
1516.76642070285,0.19
1558.69946818886,0.18
1603.73057070483,0.17
1652.31694873624,0.16
1705.01725945862,0.15
1762.52285081268,0.14
1825.70173213577,0.13
1895.66189699339,0.12
1973.84499472383,0.11
2062.16927991473,0.1
2163.25590294561,0.09
2280.80314667911,0.08
2420.2391559941,0.07
2589.93836883218,0.0599999999999999
2803.68953385287,0.0499999999999999
3086.30522772235,0.0399999999999999
3488.59846432887,0.03
4138.78417343963,0.02
5526.34445095402,0.01
