"time","value"
1,0.5
11.0225563909774,0.00290649030536683
21.0451127819549,0.000604161088120558
31.0676691729323,0.00023433413014462
41.0902255639098,0.000118715075785758
51.1127819548872,6.98146610785821e-05
61.1353383458647,4.51646022282537e-05
71.1578947368421,3.12195531383397e-05
81.1804511278196,2.26579990564302e-05
91.203007518797,1.70703190239818e-05
101.225563909774,1.32463581854481e-05
111.248120300752,1.05283072391327e-05
121.270676691729,8.53551696811117e-06
131.293233082707,7.03625326858859e-06
141.315789473684,5.88338331819482e-06
151.338345864662,4.98012280703009e-06
161.360902255639,4.2608521072518e-06
171.383458646617,3.67990299998677e-06
181.406015037594,3.20475883441862e-06
191.428571428571,2.81179699401779e-06
201.451127819549,2.48354719623034e-06
211.473684210526,2.20688145824433e-06
221.496240601504,1.97179231986588e-06
231.518796992481,1.77055155026196e-06
241.541353383459,1.59712033753756e-06
251.563909774436,1.44672898505505e-06
261.586466165414,1.31557290961037e-06
271.609022556391,1.2005897490619e-06
281.631578947368,1.09929387803742e-06
291.654135338346,1.00965212324056e-06
301.676691729323,9.29989417253196e-07
311.699248120301,8.58916469170801e-07
321.721804511278,7.95273797149498e-07
331.744360902256,7.38088053897634e-07
341.766917293233,6.86537662164532e-07
351.789473684211,6.39925580303569e-07
361.812030075188,5.97657557110942e-07
371.834586466165,5.59224660467983e-07
381.857142857143,5.24189146422493e-07
391.87969924812,4.92172965937954e-07
401.902255639098,4.62848362525747e-07
411.924812030075,4.35930140429974e-07
421.947368421053,4.11169272518386e-07
431.96992481203,3.88347594970639e-07
441.992481203008,3.67273377599453e-07
452.015037593985,3.47777616149791e-07
462.037593984962,3.29710909574565e-07
472.06015037594,3.12940825253349e-07
482.082706766917,2.97349662670143e-07
492.105263157895,2.82832553044621e-07
502.127819548872,2.692958348538e-07
512.15037593985,2.5665566349975e-07
522.172932330827,2.4483681548837e-07
532.195488721805,2.33771659585713e-07
542.218045112782,2.23399263976631e-07
552.240601503759,2.13664627213284e-07
562.263157894737,2.04518004420784e-07
572.285714285714,1.95914324097046e-07
582.308270676692,1.87812677188148e-07
592.330827067669,1.80175868447208e-07
602.353383458647,1.72970024858721e-07
612.375939849624,1.66164249360001e-07
622.398496240602,1.59730316973139e-07
632.421052631579,1.53642404465693e-07
642.443609022556,1.4787685265194e-07
652.466165413534,1.42411954784372e-07
662.488721804511,1.37227768925996e-07
672.511278195489,1.32305949973599e-07
682.533834586466,1.27629601220924e-07
692.556390977444,1.23183140021688e-07
702.578947368421,1.18952179550824e-07
712.601503759398,1.14923420224677e-07
722.624060150376,1.11084555443064e-07
732.646616541353,1.07424183770632e-07
742.669172932331,1.03931731332274e-07
752.691729323308,1.00597382313161e-07
762.714285714286,9.74120145658119e-08
772.736842105263,9.43671427666715e-08
782.759398496241,9.14548666797188e-08
792.781954887218,8.86678229727877e-08
802.804511278195,8.59991443613595e-08
812.827067669173,8.34424186413329e-08
822.84962406015,8.09916541610889e-08
832.872180451128,7.86412481801335e-08
842.894736842105,7.63859561159208e-08
852.917293233083,7.42208658977006e-08
862.93984962406,7.21413725424114e-08
872.962406015038,7.01431557281751e-08
882.984962406015,6.82221594772159e-08
893.007518796992,6.63745733930909e-08
903.03007518797,6.45968147860998e-08
913.052631578947,6.28855130191397e-08
923.075187969925,6.12374944086724e-08
933.097744360902,5.96497693461373e-08
943.12030075188,5.8119519419364e-08
953.142857142857,5.66440859772754e-08
963.165413533835,5.52209594717468e-08
973.187969924812,5.3847769798665e-08
983.210526315789,5.25222773051226e-08
993.233082706767,5.12423636855885e-08
1003.25563909774,5.00060256536372e-08
1013.27819548872,4.88113659491418e-08
1023.3007518797,4.76565877871593e-08
1033.32330827068,4.65399887517037e-08
1043.34586466165,4.54599543564527e-08
1053.36842105263,4.44149528266991e-08
1063.39097744361,4.34035308805036e-08
1073.41353383459,4.24243076224684e-08
1083.43609022556,4.14759718792013e-08
